"gene","module"
"ZMPSTE24-DT","black"
"ZNF174","black"
"ZNF184","black"
"ZNF20","black"
"ZNF205","black"
"ZNF48","black"
"ZNF524","black"
"ZNF528-AS1","black"
"ZNF534","black"
"ZNF578","black"
"ZNF676","black"
"ZNF683","black"
"ZNF725P","black"
"ZNF727","black"
"ZNF835","black"
"ZNF847P","black"
"ZNF969P","black"
"ZNF970P","black"
"ZP3P1","black"
"AADACL2-AS1","blue"
"ABCA1","blue"
"ABCB11","blue"
"ABCB4","blue"
"ABCC5-AS1","blue"
"ABCF2P2","blue"
"ABCG5","blue"
"ABHD3","blue"
"ACADL","blue"
"ACBD7","blue"
"ACER2P1","blue"
"ACKR3","blue"
"ACOT11","blue"
"ACOXL","blue"
"ACP3","blue"
"ACSS1","blue"
"ACTBP8","blue"
"ACTE1P","blue"
"ACTR3-AS1","blue"
"ACTR5","blue"
"ACVRL1","blue"
"ADAM20","blue"
"ADAM3B","blue"
"ADAM5","blue"
"ADAMDEC1","blue"
"ADAMTS9-AS1","blue"
"ADD1","blue"
"ADGRE1","blue"
"ADGRF1","blue"
"ADGRF5P1","blue"
"ADGRL3-AS1","blue"
"ADGRL4","blue"
"ADH5P4","blue"
"ADI1","blue"
"ADI1P1","blue"
"ADPGK-AS1","blue"
"AFAP1L1","blue"
"AFM","blue"
"AGAP10P","blue"
"AGBL2","blue"
"AGBL4-AS1","blue"
"AGBL5","blue"
"AGER","blue"
"AGTRAP","blue"
"AIF1L","blue"
"AIPL1","blue"
"AKNA","blue"
"AKR1B15","blue"
"AKT1S1","blue"
"ALDH3B1","blue"
"ALDH7A1","blue"
"ALDH9A1","blue"
"ALG14-AS1","blue"
"ALG1L2","blue"
"ALOX15P2","blue"
"ALYREF","blue"
"AMHR2","blue"
"AMOTL1","blue"
"ANAPC15","blue"
"ANKHD1-DT","blue"
"ANKRD20A7P","blue"
"ANKRD20A9P","blue"
"ANKRD42","blue"
"ANKRD45","blue"
"ANKS4B","blue"
"ANO1","blue"
"ANO2","blue"
"ANP32BP1","blue"
"ANPEP","blue"
"AOPEP","blue"
"AOX3P","blue"
"AP1B1","blue"
"APOBEC3D","blue"
"APOBEC3G","blue"
"APOC1P1","blue"
"APOC2","blue"
"APOF","blue"
"APOL1","blue"
"APOL5","blue"
"APOLD1","blue"
"APOOP4","blue"
"APPBP2-DT","blue"
"AQP7","blue"
"ARFGAP3","blue"
"ARGFX","blue"
"ARHGAP28-AS1","blue"
"ARHGAP31-AS1","blue"
"ARHGAP8","blue"
"ARHGEF18-AS1","blue"
"ARHGEF19","blue"
"ARHGEF26","blue"
"ARL14EPL","blue"
"ARL2BP","blue"
"ARL5C","blue"
"ARMC10","blue"
"ARMC3","blue"
"ARMH1","blue"
"ARPC3P4","blue"
"ARRDC1-AS1","blue"
